Realm ID,Realm Name,Realm Slug,Region ID,Region Name,Connected Realm Names (IDs)
129,Gurubashi,gurubashi,1,North America,"Aegwynn (1136), Bonechewer (83), Hakkar (1142), Garrosh (1373), Daggerspine (109)"
131,Skywall,skywall,1,North America,"Silvermoon (86), Terenas (90), Hydraxis (1368), Drak'thul (1140), Borean Tundra (1371), Mok'Nathal (1374), Shadowsong (85)"
66,Dalaran,dalaran,1,North America,
51,Garona,garona,1,North America,"Malygos (104), Lightning's Blade (95), Icecrown (14), Onyxia (1285), Burning Blade (91)"
103,Thunderlord,thunderlord,1,North America,"Azgalor (77), Destromath (79), Blood Furnace (1558), Mannoroth (70), Nazjatar (1131), Azshara (1128)"
111,Dunemaul,dunemaul,1,North America,"Sen'jin (1185), Maiev (1357), Bloodscalp (119), Quel'dorei (1372), Boulderfist (112), Stonemaul (108)"
121,Azjol-Nerub,azjolnerub,1,North America,"Muradin (1182), Nordrassil (1359), Blackrock (10), Khaz Modan (1143)"
127,Firetree,firetree,1,North America,"Drak'Tharon (1362), Rivendare (1358), Vashj (1348), Spirestone (124), Malorne (1148), Frostwolf (7), Stormscale (110)"
151,Runetotem,runetotem,1,North America,Uther (3)
1579,Grizzly Hills,grizzly-hills,1,North America,"Trollbane (1175), Malfurion (1132), Lothar (68), Kael'thas (1069), Gnomeregan (1287), Moonrunner (153), Ghostlands (1578)"
1581,Galakrond,galakrond,1,North America,Blackhand (54)
1582,Dawnbringer,dawnbringer,1,North America,"Staghelm (160), Madoran (1173), Azuremyst (1549)"
115,Draenor,draenor,1,North America,Echo Isles (1342)
1356,Sisters of Elune,sisters-of-elune,1,North America,"Shadow Council (125), Cenarion Circle (88), Blackwater Raiders (1347)"
88,Cenarion Circle,cenarion-circle,1,North America,"Shadow Council (125), Sisters of Elune (1356), Blackwater Raiders (1347)"
106,Aggramar,aggramar,1,North America,Fizzcrank (1576)
1362,Drak'Tharon,draktharon,1,North America,"Firetree (127), Rivendare (1358), Vashj (1348), Spirestone (124), Malorne (1148), Frostwolf (7), Stormscale (110)"
1072,Ravencrest,ravencrest,1,North America,Uldaman (1283)
87,Windrunner,windrunner,1,North America,"Suramar (113), Darrowmere (1351), Draka (1139)"
126,Scarlet Crusade,scarlet-crusade,1,North America,Feathermoon (118)
58,Stormreaver,stormreaver,1,North America,
67,Elune,elune,1,North America,"Laughing Skull (101), Auchindoun (1555), Cho'gall (1067), Gilneas (97)"
